query_id,arm,ndcg@10,recall@5,recall@10,recall@100,mrr@10
10628,rrf,0.000000,0.000000,0.000000,1.000000,0.000000
10628,rrf_rerank,0.000000,0.000000,0.000000,1.000000,0.000000
10639,bm25,0.000000,0.000000,0.000000,0.200000,0.000000
10639,dense,0.113053,0.000000,0.200000,0.200000,0.142857
10639,rrf,0.169580,0.200000,0.200000,0.200000,0.333333
10639,rrf_rerank,0.339160,0.200000,0.200000,0.200000,1.000000
10645,bm25,0.264068,0.500000,0.500000,0.500000,0.250000
10645,dense,0.237198,0.500000,0.500000,1.000000,0.200000
10645,rrf,0.613147,0.500000,0.500000,1.000000,1.000000
10645,rrf_rerank,0.510956,0.500000,1.000000,1.000000,0.333333
10674,bm25,0.390380,0.250000,0.250000,1.000000,1.000000
10674,dense,0.736590,0.750000,0.750000,1.000000,1.000000
10674,rrf,0.789042,0.500000,1.000000,1.000000,1.000000
10674,rrf_rerank,0.385359,0.250000,0.500000,1.000000,0.500000
10710,bm25,0.000000,0.000000,0.000000,1.000000,0.000000
10710,dense,0.500000,1.000000,1.000000,1.000000,0.333333
10710,rrf,0.301030,0.000000,1.000000,1.000000,0.111111
10710,rrf_rerank,0.630930,1.000000,1.000000,1.000000,0.500000
10734,bm25,0.588984,0.333333,0.500000,0.666667,1.000000
10734,dense,0.963487,0.666667,1.000000,1.000000,1.000000
10734,rrf,0.752614,0.500000,0.666667,1.000000,1.000000
10734,rrf_rerank,0.958080,0.666667,1.000000,1.000000,1.000000
1074,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
1074,dense,1.000000,1.000000,1.000000,1.000000,1.000000
1074,rrf,0.000000,0.000000,0.000000,1.000000,0.000000
1074,rrf_rerank,1.000000,1.000000,1.000000,1.000000,1.000000
10792,bm25,0.193426,0.000000,0.500000,1.000000,0.125000
10792,dense,0.693426,1.000000,1.000000,1.000000,0.500000
10792,rrf,0.457495,0.500000,1.000000,1.000000,0.250000
10792,rrf_rerank,0.501266,1.000000,1.000000,1.000000,0.250000
10808,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
10808,dense,0.202107,0.333333,0.333333,1.000000,0.250000
10808,rrf,0.000000,0.000000,0.000000,1.000000,0.000000
10808,rrf_rerank,0.000000,0.000000,0.000000,1.000000,0.000000
10809,bm25,0.181542,0.333333,0.333333,0.666667,0.200000
10809,dense,0.469279,0.333333,0.333333,1.000000,1.000000
10809,rrf,0.469279,0.333333,0.333333,1.000000,1.000000
10809,rrf_rerank,0.469279,0.333333,0.333333,1.000000,1.000000
10812,bm25,0.970929,0.750000,1.000000,1.000000,1.000000
10812,dense,0.766809,0.500000,0.750000,1.000000,1.000000
10812,rrf,0.961999,0.750000,1.000000,1.000000,1.000000
10812,rrf_rerank,0.934937,0.750000,1.000000,1.000000,1.000000
10827,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
10827,dense,0.000000,0.000000,0.000000,0.200000,0.000000
10827,rrf,0.000000,0.000000,0.000000,0.200000,0.000000
10827,rrf_rerank,0.000000,0.000000,0.000000,0.200000,0.000000
10845,bm25,1.000000,1.000000,1.000000,1.000000,1.000000
10845,dense,1.000000,1.000000,1.000000,1.000000,1.000000
10845,rrf,1.000000,1.000000,1.000000,1.000000,1.000000
10845,rrf_rerank,1.000000,1.000000,1.000000,1.000000,1.000000
1085,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
1085,dense,0.000000,0.000000,0.000000,0.500000,0.000000
1085,rrf,0.000000,0.000000,0.000000,0.000000,0.000000
1085,rrf_rerank,0.000000,0.000000,0.000000,0.000000,0.000000
109,bm25,0.356207,0.000000,1.000000,1.000000,0.166667
109,dense,1.000000,1.000000,1.000000,1.000000,1.000000
109,rrf,1.000000,1.000000,1.000000,1.000000,1.000000
109,rrf_rerank,1.000000,1.000000,1.000000,1.000000,1.000000
1090,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
1090,dense,0.000000,0.000000,0.000000,0.500000,0.000000
1090,rrf,0.000000,0.000000,0.000000,0.500000,0.000000
1090,rrf_rerank,0.000000,0.000000,0.000000,0.500000,0.000000
10912,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
10912,dense,0.000000,0.000000,0.000000,1.000000,0.000000
10912,rrf,0.000000,0.000000,0.000000,0.000000,0.000000
10912,rrf_rerank,0.000000,0.000000,0.000000,0.000000,0.000000
10932,bm25,1.000000,1.000000,1.000000,1.000000,1.000000
10932,dense,1.000000,1.000000,1.000000,1.000000,1.000000
10932,rrf,1.000000,1.000000,1.000000,1.000000,1.000000
10932,rrf_rerank,1.000000,1.000000,1.000000,1.000000,1.000000
10975,bm25,0.000000,0.000000,0.000000,1.000000,0.000000
10975,dense,0.000000,0.000000,0.000000,0.000000,0.000000
10975,rrf,0.000000,0.000000,0.000000,0.000000,0.000000
10975,rrf_rerank,0.000000,0.000000,0.000000,0.000000,0.000000
10979,bm25,0.441492,0.500000,0.500000,0.750000,0.500000
10979,dense,0.585570,0.500000,0.500000,0.750000,1.000000
10979,rrf,0.585570,0.500000,0.500000,0.750000,1.000000
10979,rrf_rerank,0.541400,0.500000,0.500000,0.750000,1.000000
10994,bm25,0.483813,0.500000,1.000000,1.000000,0.333333
10994,dense,0.218407,0.000000,0.500000,1.000000,0.166667
10994,rrf,0.430624,0.500000,1.000000,1.000000,0.200000
10994,rrf_rerank,0.510956,0.500000,1.000000,1.000000,0.333333
11039,bm25,0.126471,0.125000,0.125000,0.625000,0.333333
11039,dense,0.413400,0.125000,0.375000,0.500000,1.000000
11039,rrf,0.252943,0.125000,0.125000,0.625000,1.000000
